,Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight
0,1.0,30,558.8,457.2,508.0,457.2,355.59999999999997,558.8,558.8,635.0,635.0,558.8,1320.8
1,1.0,28,482.59999999999997,558.8,431.79999999999995,457.2,533.4,635.0,711.1999999999999,584.1999999999999,635.0,508.0,1422.3999999999999
2,2.0,27,533.4,457.2,406.4,355.59999999999997,254.0,381.0,533.4,457.2,355.59999999999997,457.2,1346.1999999999998
3,1.0,29,508.0,508.0,457.2,279.4,482.59999999999997,355.59999999999997,609.5999999999999,533.4,508.0,533.4,1143.0
4,2.0,28,406.4,355.59999999999997,457.2,330.2,279.4,762.0,635.0,558.8,812.8,330.2,1193.8
5,2.0,22,431.79999999999995,482.59999999999997,457.2,355.59999999999997,406.4,457.2,508.0,609.5999999999999,533.4,482.59999999999997,1524.0
6,2.0,18,635.0,431.79999999999995,406.4,431.79999999999995,304.79999999999995,711.1999999999999,584.1999999999999,635.0,355.59999999999997,457.2,1244.6
7,2.0,26,457.2,381.0,482.59999999999997,431.79999999999995,584.1999999999999,685.8,482.59999999999997,482.59999999999997,482.59999999999997,482.59999999999997,1473.1999999999998
8,1.0,23,406.4,406.4,508.0,457.2,558.8,457.2,381.0,660.4,508.0,482.59999999999997,1016.0
9,1.0,31,381.0,508.0,711.1999999999999,457.2,2311.4,431.79999999999995,406.4,533.4,533.4,482.59999999999997,1397.0
10,1.0,29,406.4,711.1999999999999,431.79999999999995,381.0,533.4,762.0,431.79999999999995,635.0,457.2,431.79999999999995,1270.0
11,1.0,35,584.1999999999999,533.4,457.2,304.79999999999995,457.2,685.8,457.2,431.79999999999995,482.59999999999997,508.0,1244.6
12,2.0,29,533.4,482.59999999999997,431.79999999999995,431.79999999999995,508.0,533.4,508.0,508.0,457.2,558.8,1498.6
13,1.0,30,482.59999999999997,431.79999999999995,457.2,457.2,609.5999999999999,711.1999999999999,584.1999999999999,558.8,431.79999999999995,609.5999999999999,1193.8
14,2.0,20,609.5999999999999,533.4,431.79999999999995,406.4,457.2,482.59999999999997,482.59999999999997,685.8,431.79999999999995,482.59999999999997,1295.3999999999999
15,2.0,27,482.59999999999997,381.0,508.0,279.4,508.0,457.2,482.59999999999997,711.1999999999999,431.79999999999995,457.2,1447.8
16,2.0,24,406.4,508.0,406.4,228.6,635.0,558.8,482.59999999999997,482.59999999999997,635.0,381.0,1524.0
17,1.0,30,533.4,457.2,533.4,304.79999999999995,482.59999999999997,533.4,381.0,508.0,533.4,508.0,1498.6
18,1.0,35,508.0,406.4,711.1999999999999,457.2,431.79999999999995,584.1999999999999,406.4,685.8,584.1999999999999,228.6,1219.1999999999998
19,1.0,29,457.2,381.0,457.2,381.0,457.2,609.5999999999999,508.0,635.0,431.79999999999995,330.2,1066.8
20,1.0,35,635.0,457.2,457.2,381.0,482.59999999999997,482.59999999999997,584.1999999999999,482.59999999999997,457.2,533.4,1244.6
21,2.0,29,2032.0,482.59999999999997,406.4,431.79999999999995,508.0,508.0,609.5999999999999,558.8,482.59999999999997,508.0,1117.6
22,2.0,27,533.4,533.4,406.4,457.2,558.8,762.0,381.0,508.0,635.0,228.6,1143.0
23,1.0,26,406.4,558.8,431.79999999999995,355.59999999999997,609.5999999999999,482.59999999999997,558.8,457.2,533.4,330.2,1371.6
24,2.0,24,381.0,482.59999999999997,431.79999999999995,381.0,406.4,508.0,457.2,660.4,533.4,533.4,1447.8
25,1.0,20,406.4,406.4,457.2,431.79999999999995,381.0,533.4,482.59999999999997,482.59999999999997,533.4,508.0,1524.0
26,1.0,30,508.0,431.79999999999995,431.79999999999995,482.59999999999997,457.2,584.1999999999999,381.0,431.79999999999995,533.4,457.2,1447.8
27,1.0,35,431.79999999999995,457.2,457.2,254.0,431.79999999999995,609.5999999999999,508.0,711.1999999999999,508.0,533.4,1473.1999999999998
28,1.0,31,482.59999999999997,381.0,508.0,355.59999999999997,558.8,533.4,635.0,685.8,584.1999999999999,482.59999999999997,1143.0
29,1.0,20,711.1999999999999,355.59999999999997,508.0,457.2,482.59999999999997,762.0,609.5999999999999,635.0,508.0,508.0,1295.3999999999999
30,1.0,24,736.5999999999999,508.0,457.2,431.79999999999995,457.2,889.0,508.0,508.0,406.4,762.0,787.4
31,2.0,27,431.79999999999995,558.8,406.4,304.79999999999995,457.2,762.0,431.79999999999995,685.8,279.4,787.4,762.0
32,1.0,29,482.59999999999997,508.0,508.0,355.59999999999997,457.2,533.4,508.0,711.1999999999999,304.79999999999995,533.4,838.1999999999999
33,1.0,27,609.5999999999999,482.59999999999997,406.4,381.0,482.59999999999997,533.4,431.79999999999995,609.5999999999999,304.79999999999995,711.1999999999999,1524.0
